30914025,22,4,0,0,13648,3641.939842,0.266847878,2556.536367,2978,10670,1626,245,5185,1303,817,425,7,0,0,11,7,0,0,0,7,0,0,0,1,0,0,3,1,1816
30914025,32,4,0,0,21408,3575.901922,0.167035777,3051.213776,4168,17240,7212,723,9453,2561,1105,87,9,0,0,21,12,0,0,0,9,0,0,0,1,0,4,2,0,1943
30914025,45,3,0,0,82151,11684.07918,0.142226865,7823.706301,5319,76832,25994,5320,62754,27334,1697,520,11,0,0,38,44,0,2,2,7,0,1,1,1,4,9,9,5,5024
30914025,46,4,0,0,38177,4072.898593,0.106684616,3595.749728,9379,28798,17799,4422,19183,5976,3977,409,8,0,0,7,10,0,0,0,8,0,0,0,1,0,11,3,0,1280
30914025,54,3,0,0,50307,10249.78469,0.203744701,9285.300485,10134,40173,15187,900,27650,12939,1989,538,11,1,1,35,23,1,1,5,4,1,1,1,1,7,9,6,9,1176
30914025,58,2,0,0,91679,9502.099363,0.103645321,8501.795146,9104,82575,46491,17950,60781,30894,4171,496,12,1,1,32,26,0,1,4,7,0,1,1,1,5,20,5,4,6670
30914025,59,3,0,0,44012,5951.235836,0.135218482,5099.97296,7479,36533,16225,2302,27163,16679,1178,512,7,0,0,21,18,0,0,0,7,0,0,0,1,0,10,2,0,4055
30914025,60,4,0,0,49636,9681.927353,0.195058573,4929.915379,4052,45584,13755,890,24651,10287,1153,529,9,1,1,27,26,0,1,2,6,0,1,1,1,3,6,2,4,13655
30914025,61,4,0,0,55626,9222.049461,0.165786673,7693.434601,5338,50288,13928,1327,33535,5591,2200,375,12,1,1,32,30,0,1,4,7,0,1,1,1,5,4,3,5,6166
30914025,67,3,0,0,35459,6146.819222,0.173350044,5618.844756,11370,24089,10419,889,14720,8302,1155,420,8,1,1,24,14,0,1,4,3,0,1,1,1,5,7,2,3,3648
30914025,68,4,0,0,31412,4233.001396,0.134757462,3816.935401,3852,27560,8494,672,20332,8767,1177,424,9,0,0,19,18,0,0,0,9,0,0,0,1,0,3,6,0,1007
30914025,76,2,0,0,133931,16232.58603,0.121201111,14557.21907,5172,128759,45472,6310,101866,15447,6457,96,21,2,1,56,47,1,4,10,6,1,1,1,1,15,22,7,11,1328
30914025,89,3,0,0,54776,9736.318747,0.177747896,6407.766514,4824,49952,16620,3817,32238,10774,2378,393,13,1,1,23,28,1,1,3,8,1,1,1,1,5,3,10,5,4471
30914025,92,4,0,0,93209,12246.14891,0.13138376,10650.70247,6627,86582,32418,4152,56340,16278,4346,472,18,0,0,48,43,1,4,4,9,1,1,1,1,9,18,9,12,11231
